Pais,Anio,Emisiones_de_CO2
Cuba,1988,34.53880162
Cuba,1989,35.52797627
Cuba,1990,35.625388774
Cuba,1991,35.562073543
Cuba,1992,32.389277113
Cuba,1993,29.25668561
Cuba,1994,28.168230551
Cuba,1995,29.196105042
Cuba,1996,31.207549721
Cuba,1997,30.194188938
Cuba,1998,33.588388758
Cuba,1999,32.910194714
Cuba,2000,33.108387109
Cuba,2001,32.295198036
Cuba,2002,32.68766906
Cuba,2003,33.799902475
Cuba,2004,32.825485415
Cuba,2005,32.827538445
Cuba,2006,28.86738089
Cuba,2007,24.827564418
Cuba,2008,19.084673907
Cuba,2009,29.219507182
Cuba,2010,29.22173837
Cuba,2011,28.057056726
Cuba,2012,25.041649313
Cuba,2013,28.369444739
Cuba,2014,27.117107824
Cuba,2015,27.815524427
Cuba,2016,30.158298974
Cuba,2017,23.149599654
Cuba,2018,20.961049262
Cuba,2019,22.496372604
Cuba,1981,29.94460527
Cuba,1982,30.503858076
Cuba,1983,33.553452188
Cuba,1984,30.434603795
Cuba,1985,31.473309626
Cuba,1986,31.550104468
Cuba,1987,34.525142414
Cuba,1980,-1.0
Chile,1981,21.608615918
Chile,1982,20.777298692
Chile,1983,16.687740254
Chile,1984,17.954715371
Chile,1985,20.323000596
Chile,1986,19.4178375
Chile,1987,19.403419549
Chile,1988,19.939354349
Chile,1989,23.530224019
Chile,1990,28.623170396
Chile,1991,30.368899694
Chile,1992,28.879754552
Chile,1993,30.03139498
Chile,1994,32.739001079
Chile,1995,35.879767705
Chile,1996,39.092920312
Chile,1997,43.880968586
Chile,1998,50.638338583
Chile,1999,51.488744946
Chile,2000,55.77806557
Chile,2001,52.299004537
Chile,2002,51.555660643
Chile,2003,53.722797528
Chile,2004,55.994072484
Chile,2005,61.16096146
Chile,2006,63.504145094
Chile,2007,64.697668961
Chile,2008,70.007309667
Chile,2009,72.079364098
Chile,2010,68.293804461
Chile,2011,71.868038089
Chile,2012,76.495521228
Chile,2013,77.6102117
Chile,2014,81.676454475
Chile,2015,76.416465602
